"receipt_id","supplier_id","warehouse_name","inbnd_type","inbnd_duration_min","started_at","sku_cnt","category_level4_cnt","start_hour","start_week","start_weekday"
"01003869517",dd0df3c5-e7cb-11ec-ae71-08c0eb320147,РЦ СБЛ РНД-2,Хранение от поставщика,140.149213,2025-08-27 08:40:23.911,8562.0,2,"8","35","3"
"01003869541",a122042b-f9c7-11ea-8599-1c34dae33151,РЦ СБЛ ВРЖ Нечаевка,Кросс-док,3.79489835,2025-09-01 10:02:32.362,3380.0,2,"10","36","1"
"01003879395",e9912507-fb18-11ee-b973-08c0eb32008b,РЦ СБЛ НСК,Кросс-док,2.3476941666666664,2025-09-17 04:09:28.531,1400.0,1,"4","38","3"
"01003880535","3cd9aeaa-76f8-11ee-8860-08c0eb32014b",РЦ СБЛ ВЛГ-2 WMS,Кросс-док,4.598438333333333,2025-09-07 08:25:59.764,2304.0,1,"8","36","0"
"01003885530",a6ef32dc-76e3-11e9-80c5-0cc47a817925,РЦ СБЛ СМР,Хранение от поставщика,25.525895466666668,2025-09-10 05:18:01.842,7200.0,8,"5","37","3"
"01003637119","875bbabf-ba1c-11eb-85ab-1c34dae33151",РЦ СБЛ ТМН,Кросс-док,12.170118733333334,2025-04-30 08:45:23.357,3417.0,3,"8","18","3"
"01003769328",a122042b-f9c7-11ea-8599-1c34dae33151,РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,3.7513452000000003,2025-07-11 08:00:36.232,3710.0,2,"8","28","5"
"01003779221","3e4f4a66-65d5-11ef-8861-08c0eb32014b",РЦ СБЛ ВЛГ-2 WMS,Кросс-док,7.2993587,2025-08-01 06:05:52.036,4608.0,1,"6","31","5"
"01003785803",f179ca8e-5c88-11eb-85a3-1c34dae33151,РЦ СБЛ ВЛГ-2 WMS,Кросс-док,4.978691283333333,2025-07-20 07:20:48.836,3516.0,1,"7","29","0"
"01003790929","875bbabf-ba1c-11eb-85ab-1c34dae33151",РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,11.575958466666666,2025-07-24 09:52:46.388,5565.0,3,"9","30","4"
"01003808102",fe37e020-bf16-11ed-ae77-08c0eb320147,РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,3.2157447833333332,2025-07-31 12:42:10.362,1439.0,2,"12","31","4"
"01003839378",e0126b4f-d4f1-11eb-85ac-1c34dae33151,РЦ СБЛ НН,Хранение от поставщика,3.2003521333333333,2025-08-16 05:55:09.900,564.0,2,"5","33","6"
"01003846734",b816da60-c690-11ea-b7de-0050560306e1,РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,7.360866933333333,2025-08-22 06:16:42.483,1296.0,1,"6","34","5"
"01003853932",a478fb2c-733c-11ea-bca4-0050560306e1,РЦ СБЛ ТМН,Кросс-док,3.69459235,2025-09-02 08:19:39.003,384.0,1,"8","36","2"
"01003864211",fe37e020-bf16-11ed-ae77-08c0eb320147,РЦ СБЛ КСК,Кросс-док,4.7569761,2025-09-05 02:43:38.727,708.0,2,"2","36","5"
"01003868878",a6ef32dc-76e3-11e9-80c5-0cc47a817925,РЦ СБЛ НСК,Хранение от поставщика,1.4878452666666666,2025-08-30 06:22:53.263,756.0,1,"6","35","6"
"01003875537","909578fd-648e-11ef-ae7a-08c0eb320147",РЦ СБЛ ВЛГ-2 WMS,Хранение от РЦ,1.3410459000000001,2025-09-04 10:45:28.424,240.0,1,"10","36","4"
"01003882145",a478fb2c-733c-11ea-bca4-0050560306e1,РЦ СБЛ РНД-2,Хранение от поставщика,8.040791433333334,2025-09-12 08:54:08.302,2376.0,1,"8","37","5"
"01003882924",ae51b1d8-31f5-11ee-885f-08c0eb32014b,РЦ СБЛ НСК,Кросс-док,3.1275454166666665,2025-09-10 07:09:03.442,4008.0,1,"7","37","3"
"01003887322",a6ef32dc-76e3-11e9-80c5-0cc47a817925,РЦ СБЛ НСК,Хранение от поставщика,18.93649153333333,2025-09-08 07:11:20.746,2268.0,2,"7","37","1"
"01003890203","036140e6-3639-11f0-aa25-be3af2b6059f",РЦ СБЛ РНД-2,Хранение от поставщика,1.6815003166666667,2025-09-12 09:23:05.358,504.0,1,"9","37","5"
"01003895175","875bbabf-ba1c-11eb-85ab-1c34dae33151",РЦ СБЛ НН,Хранение от поставщика,8.936214016666666,2025-09-11 05:34:22.706,2073.0,2,"5","37","4"
"01003899956",a0f1e6e9-5010-11f0-a97c-be3af2b6059f,РЦ СБЛ КНД-3,Хранение от поставщика,15.229123366666666,2025-09-15 10:27:02.944,3648.0,1,"10","38","1"
"01003528538",a478fb2c-733c-11ea-bca4-0050560306e1,РЦ СДГ КСК,Кросс-док,18.157295350000002,2025-03-20 04:01:12.873,3480.0,1,"4","12","4"
"01003648665","5c37154a-c40f-11ed-ae77-08c0eb320147",РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,7.688862416666667,2025-05-10 06:47:50.277,660.0,1,"6","19","6"
"01003662279","32b517cc-3d9f-11ee-ae78-08c0eb320147",РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,5.102549383333334,2025-05-15 06:10:54.545,13608.0,1,"6","20","4"
"01003785644",c766844d-edec-11ef-aa3a-be3af2b6059f,РЦ СБЛ ВЛГ-2 WMS,Кросс-док,1.3257219666666666,2025-07-28 10:53:49.775,2592.0,1,"10","31","1"
"01003801568",f9b41e55-548c-11ea-879c-0050560306e1,РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,2.5886623666666666,2025-07-28 08:01:49.113,1824.0,1,"8","31","1"
"01003817648",a6ef32dc-76e3-11e9-80c5-0cc47a817925,РЦ СБЛ НСК,Хранение от поставщика,21.62145973333333,2025-08-05 03:28:30.921,3960.0,1,"3","32","2"
"01003820049","875bbabf-ba1c-11eb-85ab-1c34dae33151",РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,6.27497615,2025-08-07 12:53:39.722,4632.0,3,"12","32","4"
"01003854118",cfad39c9-bd3e-11eb-85ab-1c34dae33151,РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,5.735049983333334,2025-08-21 14:43:24.364,7248.0,4,"14","34","4"
"01003861408","5c37154a-c40f-11ed-ae77-08c0eb320147",РЦ СБЛ УФА-2,Хранение от поставщика,6.55754495,2025-08-29 05:56:42.371,1800.0,2,"5","35","5"
"01003890719","5c37154a-c40f-11ed-ae77-08c0eb320147",РЦ СБЛ УФА-2,Хранение от поставщика,5.580520483333333,2025-09-12 08:08:23.024,816.0,1,"8","37","5"
"01003786573","8d590545-fff9-11eb-a0ee-ec0d9a21b021",РЦ СБЛ РНД-2,Хранение от поставщика,54.69705438333334,2025-07-17 08:30:03.946,3834.0,6,"8","29","4"
