"receipt_id","supplier_id","warehouse_name","inbnd_type","inbnd_duration_min","started_at","sku_cnt","sku_volume","category_level4_cnt","start_hour","start_week","start_weekday"
"01003907865",dd0df3c5-e7cb-11ec-ae71-08c0eb320147,РЦ СБЛ ВРЖ Нечаевка,Хранение от поставщика,25.0428830166667,2025-09-15 09:25:06.180,9072.0,20319.012,2,"9","38","1"
"01003682859",e9912507-fb18-11ee-b973-08c0eb32008b,РЦ СБЛ ВЛГ-2 WMS,Кросс-док,1.72306256666667,2025-06-07 07:32:24.630,1400.0,609.84,1,"7","23","6"
"01003739098","718f5685-c732-11ed-ae77-08c0eb320147",РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,36.1362747666667,2025-06-28 08:33:15.812,7496.0,24775.705128,1,"8","26","6"
"01003784999","3cd9aeaa-76f8-11ee-8860-08c0eb32014b",РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,2.51168163333333,2025-07-20 06:38:20.211,1128.0,810.186,1,"6","29","0"
"01003804700","29966288-1e27-11ed-885a-08c0eb32014b",РЦ СБЛ ТМН,Хранение от поставщика,131.3322697,2025-08-01 03:17:17.194,4992.0,8422.343328,3,"3","31","5"
"01003835643","0bd913d9-4b82-11ec-85ad-1c34dae33151",РЦ СБЛ КСК,Хранение от поставщика,68.3190460833333,2025-08-13 05:17:49.472,3528.0,7352.3460636,6,"5","33","3"
"01003870013","29966288-1e27-11ed-885a-08c0eb32014b",РЦ СБЛ СМР,Хранение от поставщика,3.48994725,2025-08-31 05:36:39.470,3528.0,7265.77488,4,"5","35","0"
"01003881509",e0126b4f-d4f1-11eb-85ac-1c34dae33151,РЦ СБЛ НН,Кросс-док,1.18784698333333,2025-09-06 11:34:24.655,24.0,18.144,1,"11","36","6"
"01003882916",ae51b1d8-31f5-11ee-885f-08c0eb32014b,РЦ СБЛ КСК,Кросс-док,5.93745078333333,2025-09-12 04:15:10.493,1440.0,960.18048,1,"4","37","5"
"01003884756","6876d873-0939-11ef-8861-08c0eb32014b",РЦ СБЛ КСК,Кросс-док,1.89038195,2025-09-12 11:04:29.359,432.0,140.4,1,"11","37","5"
"01003898698",fe37e020-bf16-11ed-ae77-08c0eb320147,РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,2.37072231666667,2025-09-14 11:09:54.856,1440.0,2060.352,2,"11","37","0"
"01003703012",a478fb2c-733c-11ea-bca4-0050560306e1,РЦ СБЛ КСК,Хранение от поставщика,12.5885603666667,2025-06-26 10:05:57.209,1872.0,747.984,1,"10","26","4"
"01003714024","29966288-1e27-11ed-885a-08c0eb32014b",РЦ СБЛ НН,Хранение от поставщика,3.57018125,2025-06-14 11:21:12.913,1512.0,3313.51272,3,"11","24","6"
"01003720187",b816da60-c690-11ea-b7de-0050560306e1,РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,20.0290919166667,2025-06-20 08:07:36.978,1584.0,2690.064,2,"8","25","5"
"01003720679","4d0c5473-7955-11e9-80c5-0cc47a817925",РЦ СБЛ НН,Хранение от поставщика,1.46131945,2025-06-11 09:57:22.121,456.0,3556.6176,1,"9","24","3"
"01003757798",a478fb2c-733c-11ea-bca4-0050560306e1,РЦ СБЛ РНД-2,Хранение от поставщика,4.24966373333333,2025-07-11 08:44:49.696,1332.0,612.0384,1,"8","28","5"
"01003798019",ded9af41-bbef-11ec-8857-08c0eb32014b,РЦ СБЛ ТМН,Хранение от поставщика,5.69397136666667,2025-07-29 06:01:03.017,636.0,271.176,1,"6","31","2"
"01003853926",a478fb2c-733c-11ea-bca4-0050560306e1,РЦ СБЛ РНД-2,Хранение от поставщика,10.6990196166667,2025-08-29 12:31:53.701,1272.0,668.7024,1,"12","35","5"
"01003865984",dd0df3c5-e7cb-11ec-ae71-08c0eb320147,РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,13.92878305,2025-08-29 07:56:39.226,4176.0,19902.51,3,"7","35","5"
"01003873815",a6ef32dc-76e3-11e9-80c5-0cc47a817925,РЦ СБЛ НСК,Хранение от поставщика,10.4301782666667,2025-09-02 09:14:33.083,11580.0,33817.154304,5,"9","36","2"
